[*] closure-trace installed base=0x7871000000
[CLOSURE] slot=0800000006000000b09ba19b79000000 ptr=0x7826655478 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000f09da19b79000000 ptr=0x7826655418 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000109aa19b79000000 ptr=0x7826655450 concat=0x0x150348 expected=True
[CLOSURE] slot=2100000020000000d053fa2b7b000000 ptr=0x7826655488 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000109aa19b79000000 ptr=0x7826655450 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c000000d09ba19b79000000 ptr=0x7826655418 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000109aa19b79000000 ptr=0x7826655450 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c000000709ca19b79000000 ptr=0x7826655438 concat=0x0x150348 expected=True
[CLOSURE] slot=2000000011000000b0f2de1b7a000000 ptr=0x78266553f8 concat=0x0x150348 expected=True
[CLOSURE] slot=0800000006000000d074a19b79000000 ptr=0x78266573d8 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000d07ba19b79000000 ptr=0x7826657378 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000309aa19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=2100000020000000d0ea552c7b000000 ptr=0x78266573e8 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000309aa19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c0000009074a19b79000000 ptr=0x7826657378 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000309aa19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c0000005076a19b79000000 ptr=0x7826657398 concat=0x0x150348 expected=True
[CLOSURE] slot=2000000011000000e0d5cb1b7a000000 ptr=0x7826657358 concat=0x0x150348 expected=True
[CLOSURE] slot=0800000006000000f082a19b79000000 ptr=0x78266573d8 concat=0x0x150348 expected=True
[CLOSURE] slot=05000000040000007081a19b79000000 ptr=0x7826657378 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000b082a19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=21000000200000001024562c7b000000 ptr=0x78266573e8 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000b082a19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c0000001074a19b79000000 ptr=0x7826657378 concat=0x0x150348 expected=True
[CLOSURE] slot=0500000004000000b082a19b79000000 ptr=0x78266573b0 concat=0x0x150348 expected=True
[CLOSURE] slot=100000000c0000005085a19b79000000 ptr=0x7826657398 concat=0x0x150348 expected=True
[CLOSURE] slot=2000000011000000e0d5cb1b7a000000 ptr=0x7826657358 concat=0x0x150348 expected=True
[DONE] closures=27 ptr-stable=False
