[*] spawning com.zhiliaoapp.musically
[*] spawned pid 20850
[*] resumed; collecting 45s
[*] seq-correlate installed
[NONZERO] 746e635f7372633d312664656c61793d lrseq=['0x766e4', '0x95a9c', '0x9fd74', '0x9ff1c']
[NONZERO] 5f75675f73686f707461625f6e65773d lrseq=['0x936f8', '0x962f8', '0x9b3dc', '0x9b3dc', '0x766e4', '0x95a9c', '0x9fd74', '0x9ff1c']
[NONZERO] cb12155b4933d1500308499e4fcb6694 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 1e9f8a70c843498c35e08656d360842b lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 1e9f8a70c843498c35e08656d360842b lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 10930e270c1aa1af20a6ec8b3fec9139 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] e5a47a9a8b4c9ef22ecd2fd9819c3aee lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 85dae1fc4317396814aa423ee19943c4 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 0552ef46d01ab29c6d711d574971075e lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 920c9408efe20aaadf15ba25ef16cf9a lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 0edd5354ee08d3ea7efb1e9e0f259a99 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 46c03b52742b3f2615a3abdf1636b754 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 46c03b52742b3f2615a3abdf1636b754 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 9a6b1808e00bd930275f06ee5b776c88 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 46c03b52742b3f2615a3abdf1636b754 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 5e7450afa3c79844a9aad3fc9a51ff71 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 6614b98bd0892563b928e913909bd756 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 8d234505eb021366519d78a9128f2a21 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 349730215cbf0d1b39bd79f50802da08 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] d0bc747aade7372aabe623b986db761c lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 8d1a2e1677d3cfa46671300b481f46b7 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 9a6b1808e00bd930275f06ee5b776c88 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 519c712b49808a1021361f12d79ac05f lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 8ca462427dbfb3f3d431621b14f496ff lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 9a6b1808e00bd930275f06ee5b776c88 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 61fc417fef52b8196194cf6acffdf09a lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] f075fc263c7feb56f0b9e60f6122f8e8 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] b6472e044f5d75ed4270e9005a632f99 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] e4fa4db6a17e76ca2d01f35110fbd75b lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 0b04cc917112a3f5668895aa003c9190 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 3b4fa8c4a2237be4399c294a2961825d lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 4e1b7a4289d0ed1154d6a6810bdd6425 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']
[NONZERO] 0e817e15c7f71685fd55d6a55d1c0c85 lrseq=['0x9fd74', '0x9ff1c', '0x9fd74', '0x9ff1c', '0x10ac84', '0x1384e8', '0x9fd74', '0x9ff1c']

[DONE] nonzero signs=33 -> _spawn_seq.json
